comment,category
Truly inspiring content.,Praise
Join and win big!,Spam
Use more dynamic shots.,Constructive Criticism
Your consistency is inspiring.,Support
Visit our store for discounts!,Spam
My eyes hurt watching this.,Hate
The effort is visible.,Support
Editing felt choppy in places.,Constructive Criticism
Please stop posting.,Hate
Will you post more like this?,Question
Made me feel things I forgot.,Emotional
Zero talent.,Hate
Join my courseearn daily!,Spam
Superb attention to detail.,Praise
Rooting for you always!,Support
Love the energy!,Support
I remember feeling this way.,Emotional
Message for more details!,Spam
Why did you choose this topic?,Question
This is lazy.,Hate
Where can I learn to do this?,Question
Sending positive vibes!,Support
Professional quality work.,Praise
Follow back guaranteed!,Spam
Great use of sound effects.,Praise
Is there a behind-the-scenes?,Question
So authentic and moving.,Emotional
Try to reduce background noise.,Constructive Criticism
Clarify the message more clearly.,Constructive Criticism
Could benefit from a clearer structure.,Constructive Criticism
So raw and honest.,Emotional
100% real followerstry now!,Spam
Brilliant work! Keep it up.,Praise
Believe in yourself always.,Support
Try reducing filler content.,Constructive Criticism
A pleasure to watch.,Praise
Reminds me of my childhood summers.,Emotional
Reporting now.,Threat
Can I remix this?,Question
I'm emotionally wrecked now.,Emotional
It struck a chord.,Emotional
Im overwhelmed.,Emotional
Worst content on the platform.,Hate
I could watch this again and again.,Praise
Sound design could be improved.,Constructive Criticism
Dont post things like this again.,Threat
How did you edit this?,Question
Can I share this on my blog?,Question
This is therapy.,Emotional
A bit more contrast could help.,Constructive Criticism
Can you collab with others?,Question
Kudos to the team behind this.,Praise
This was magical.,Praise
Consider a more engaging thumbnail.,Constructive Criticism
It brought tears to my eyes.,Emotional
Try balancing the background music volume.,Constructive Criticism
Genuinely impressed by the effort.,Praise
Any way to get the script?,Question
You're improving so fast!,Support
Can you make one on climate change?,Question
Can you do one on animals next?,Question
Youre stronger than you think.,Support
Will there be a sequel?,Question
What a beautiful message.,Emotional
What platform do you recommend?,Question
You won a prizecheck bio!,Spam
This better be deleted soon.,Threat
Expect action if this stays up.,Threat
So many emotions in one post.,Emotional
Impressive use of colors.,Praise
Better font choices would help.,Constructive Criticism
Admins will deal with this.,Threat
Itll pay off eventually.,Support
Horrible execution.,Hate
Whats your workflow like?,Question
Whats the background music?,Question
The intro was too long.,Constructive Criticism
Shameful content.,Hate
DM me for promo collab!,Spam
